회사명,corp_eng_name,종목코드,is_defaulted
한국캐피탈,"Han Kook Capital Co., Ltd.",023760,0
한국카본,"HANKUK CARBON CO.,LTD",017960,0
한국첨단소재,"KOREA ADVANCED MATERIALS Co.,Ltd.",062970,0
한국철강,KISCO Corp.,104700,0
한국지주,Korea Holidings Incorporated,009760,0
한국주철관공업,"KOREA CASTIRON PIPE IND CO.,LTD",000970,0
한국주강,"HANKOOK STEEL CO.,LTD",025890,0
한국종합기술,Korea Engineering Consultants Corp.,023350,0
한국제지,"Hankuk Paper MFG. CO., LTD",027970,0
한국제지,"HANKUK PAPER MFG CO.,LTD",002300,0
한국제7호기업인수목적,"Korea No.7 Special Purpose Acquisition Co., LTD.",291210,0
한국제6호기업인수목적,"Korea No.6 Special Purpose Acquisition Co., LTD.",281410,0
한국제5호기업인수목적,"Korea No.5 Special Purpose Acquisition Company Co., LTD.",271740,0
한국제4호기업인수목적,"Korea No.4 Special Purpose Acquisition Co., LTD.",240540,0
한국제15호스팩,"Korea No.15 Special Purpose Acquisition Co., Ltd.",479880,0
한국제14호기업인수목적,"Korea No.14 Special Purpose Acquisition Co., Ltd.",477530,0
한국제13호스팩,"Korea No.13 Special Purpose Acquisition Co., LTD.",464440,0
한국제12호스팩,"Korea No.12 Special Purpose Acquisition Co., LTD.",458610,0
한국제11호기업인수목적,"Korea No.11 Special Purpose Acquisition Co., LTD.",436610,0
한국제10호기업인수목적,"Korea No.10 Special Purpose Acquisition Co., LTD.",409570,0
한국정보통신,KoreaInformation&Communication,025770,0
한국정보인증,"KOREA INFORMATION CERTIFICATE AUTHORITY, INCORPORATED",053300,0
한국정보공학,"Korea Information Engineering Services Co., Ltd",039740,0
한국정밀기계,"HNK MACHINE TOOL CO.,LTD.",101680,0
한국전자홀딩스,"KEC HOLDINGS CO.,LTD",006200,0
한국전자인증,KOREA ELECTRONIC CERTIFICATION AUTHORITY,041460,0
한국전력공사,KOREA ELECTRIC POWER CORPORATION,015760,0
한국전기초자,"HANKUK ELECTRIC GLASS CO.,LTD",009720,0
한국저축은행,KOREA SAVINGS BANK,025610,0
한국자산신탁,"KOREA ASSET IN TRUST Co., Ltd",123890,0
한국유니온제약,"UNION KOREA PHARM CO.,Ltd",080720,0
한국월드와이드아시아태평양특별자산1호투자회사,Korea World Wide Asia Pacific Special Assets Fund [1],098150,0
한국월드와이드베트남부동산개발특별자산1호투자회사,Vietnam Real Estate Development Fund1,096300,0
한국앤컴퍼니,"HANKOOK & COMPANY CO., LTD.",000240,0
한국애보트진단,Abbott Diagnostics Korea Inc.,066930,0
