회사명,corp_eng_name,종목코드
하나금융20호기업인수목적,Hana Financial Twenty Special Purpose Acquisition Company,400560
하나금융19호기업인수목적,Hana Financial Nineteen Special Purpose Acquisition Company,388220
하나금융16호기업인수목적,Hana Financial Sixteenth Special Purpose Acquisition Company,343510
하나금융15호기업인수목적,Hana Financial Fifteenth Special Purpose Acquisition Company,341160
하나금융14호기업인수목적,Hana Financial Fourteen Special Purpose Acquisition Company,332710
하나IB증권,Hana Investment Banking & Securities Inc.,003330
하나34호스팩,Hana Thirty-four Special  Purpose Acquisition Company,484130
하나33호스팩,Hana 33 Special Purpose Acquisition Company,475250
하나32호스팩,Hana 32 Special Purpose Acquistion Company,475240
하나31호스팩,Hana 31 Special Purpose Acquisition Company,469900
하나30호스팩,Hana 30 Special Purpose Acquisition Company,469880
하나29호스팩,Hana Twenty-nine Special Purpose Acquisition Company,454640
하나28호스팩,Hana 28 Special Purpose Acquisition Company,454750
하나27호스팩,Hana 27 Special Purpose Acquisition Company,448370
하나26호스팩,Hana 26 Special Purpose Acquisition Company,446750
핑거스토리,"Finger Story CO., LTD.",417180
핑거,Finger Inc.,163730
핌스,PIMS Inc.,347770
필옵틱스,"PHILOPTICS CO., LTD.",161580
필에너지,"PHILENERGY CO., LTD.",378340
핀텔,"Pintel Co.,Ltd.",291810
픽셀플러스,"Pixelplus. Co., Ltd.",087600
피플바이오,"PeopleBio, Inc.",304840
피코소프트,"picosoft co.,ltd.",039580
피코그램,"picogram Co., Ltd.",376180
피케이엘,Photronics Korea Ltd,039870
피제이전자,"PJ ELECTRONICS CO., LTD.",006140
피제이메탈,"PJ METAL CO., LTD",128660
피엠티,Protec Mems Technology Inc.,147760
피엠디아카데미,PMD ACADEMY CORP.,144740
피엘에이,"PLA Co., Ltd.",082390
피엔티엠에스,"People & Technology Ms, Inc.",257370
피엔티,"PEOPLE & TECHNOLOGY, INC.",137400
피엔케이피부임상연구센타,"P&K Skin Research Center Co.,Ltd.",347740
피엔에이치테크,"P&H TECH Co., Ltd.",239890
피엔에스커튼월,"PNS CURTAINWALL CO., LTD",033220
피엔아이컴퍼니,"PNIcompany.Co.,Ltd.",242350
피에이치에이,"PHA Co., Ltd.",043370
피에스텍,"PS Tec. Co., Ltd.",002230
피에스케이홀딩스,PSK HOLDINGS INC.,031980
피에스케이,PSK INC.,319660
피앤텔,PEOPLE & TELECOMMUNICATION INC.,054340
피앤에스미캐닉스,"P&S Mechanics Co., Ltd.",460940
피앤씨테크,"PNC Technologies Co.,Ltd.",237750
피아이이,"PIE CO., LTD.",452450
피씨엘,PCL. Inc,241820
피씨디렉트,"PC Direct, Inc.",051380
피델릭스,"Fidelix Co., Ltd.",032580
피더블유제네틱스,"PWGenetics Co., Ltd.",065910
피노텍,"Finotek Co.,Ltd.",150440
피노,FINO INC.,033790
플리토,Flitto Inc.,300080
플루토스,"Plutus Investment Co.,Ltd",019570
플렉스컴,FLEXCOM INC.,065270
플레이위드,PLAYWITH KOREA Inc.,023770
플레이디,"PlayD Co., Ltd.",237820
플레이그램,"Playgram Co., Ltd.",009810
플럼라인생명과학,"Plumbline Life Sciences, Inc.",222670
플러스프로핏,"Plus Profit Co., Ltd",036660
플랜티넷,"PLANTYNETCo.,Ltd.",075130
플랜텍,"PLANTEC Co.,Ltd",051310
플래티어,"Plateer Co., Ltd.",367000
플래스크,"Flask Co., Ltd.",041590
플래닛팔이,Planet82 Inc.,057330
플라즈맵,"Plasmapp Co., Ltd.",405000
프리젠,PREGEN INC.,060910
프리엠스,FreeMs Corporation,053160
프리시젼바이오,Precision Biosensor Inc.,335810
프롬바이오,"From Bio Co., Ltd.",377220
프로티아,PROTIA INC.,303360
프로텍,"PROTEC Co., Ltd.",053610
프로젠,"ProGen, Co,, LTD.",296160
프로이천,"PRO2000 CO.,LTD.",321260
프로비타,PROVITA CORPORATION,014420
프렉코,"PREXCO CO., LTD.",082220
프레스티지바이오파마,Prestige BioPharma Limited,950210
프레스티지바이오로직스,"Prestige Biologics Co., Ltd.",334970
프럼파스트,"PLUMB FAST CO., LTD.",035200
퓨쳐켐,"FutureChem Co., Ltd.",220100
퓨쳐인포넷,"Future Infonet, Inc.",058690
퓨쳐비젼,"FUTURE VISION CO.,LTD",042570
퓨쳐메디신,"Future Medicine  Co., Ltd.",341170
퓨처코어,"FutureCore Co.,Ltd.",151910
퓨전,"Fusion Co.,Ltd",195440
퓨얼셀파워,"Fuelcellpower Co.,Ltd.",139170
퓨릿,"Purit Co., Ltd.",445180
퓨런티어,Furonteer Inc.,370090
풍원정밀,"POONGWON PRECISION Co.,Ltd.",371950
풍산홀딩스,POONGSAN HOLDINGS CORPORATION,005810
풍산,POONGSAN CORPORATION,103140
풍림산업,"POONGLIM INDUSTRIAL CO.,LTD",001310
풍국주정,"Pungguk Ethanol Co.,Ltd.",023900
풍강,"PUNGKANGCO.,LTD",093380
풀무원식품,"Pulmuone Foods Co., Ltd.",103160
풀무원,Pulmuone Corporate,017810
푸른저축은행,PUREUN SAVINGS BANK,007330
푸른소나무,"Green pine tree Co., Ltd",057880
푸른기술,PULOONTECHNOLOGYINC.,094940
푸드웰,FOODWELL CORPORATION,005670
푸드나무,"FOODNAMOO, INC.",290720
폴켐,Polchem Inc.,033190
폴리플러스,"Polyplus Co., Ltd",065610
폴루스바이오팜,POLUS BioPharm Inc.,007630
폴라리스우노,"POLARIS UNO, Inc.",114630
폴라리스오피스,Polaris Office Corp.,041020
폴라리스세원,"Sewon Co.,Ltd",234100
